"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0005807","Gallic acid","HMDB0005807","370","C01424","C1=C(C=C(C(=C1O)O)O)C(=O)O","1"
"HMDB0000687","L-Leucine","HMDB0000687","6106","C00123","CC(C)C[C@@H](C(=O)O)N","1"
"HMDB0000881","Xanthurenic acid","HMDB0000881","5699","C02470","C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O","1"
"HMDB0000956","Tartaric acid","HMDB0000956","444305","C00898","O[C@H]([C@@H](O)C(O)=O)C(O)=O","1"
"HMDB0000729","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(C(=O)O)O","1"
"HMDB0062640","3-hydroxy-2-isobutyrate","HMDB0062640","87","C01188","CC(CO)C(O)=O","1"
"HMDB0001991","7-Methylxanthine","HMDB0001991","68374","C16353","CN1C=NC2=C1C(=O)NC(=O)N2","1"
"HMDB0061384","NA","NA","NA","NA","NA","0"
"HMDB0013713","N-acetyltryptophan","HMDB0013713","700653",NA,"[H][C@@](CC1=CNC2=CC=CC=C12)(N=C(C)O)C(O)=O","1"
"HMDB0000152","Gentisic acid","HMDB0000152","3469","C00628","C1=CC(=C(C=C1O)C(=O)O)O","1"
"HMDB0000301","Urocanic acid","HMDB0000301","736715","C00785","C1=C(NC=N1)/C=C/C(=O)O","1"
"HMDB0001847","Caffeine","HMDB0001847","2519","C07481","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","1"
"HMDB0000822","p-Hydroxymandelic acid","HMDB0000822","7721","C11527","C1=CC(=CC=C1C(C(=O)O)O)O","1"
"HMDB0001406","Niacinamide","HMDB0001406","936","C00153","C1=CC(=CN=C1)C(=O)N","1"
"HMDB0012275","Phenylethylamine","HMDB0012275","1001","C05332","C1=CC=C(C=C1)CCN","1"
"HMDB0000226","Orotic acid","HMDB0000226","967","C00295","C1=C(NC(=O)NC1=O)C(=O)O","1"
"HMDB0006029","N-Acetylglutamine","HMDB0006029","25561",NA,"CC(=O)NC(CCC(=O)N)C(=O)O","1"
"HMDB0001325","N6,N6,N6-Trimethyl-L-lysine","HMDB0001325","440120","C03793","C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N","1"
"HMDB0000235","Thiamine","HMDB0000235","1130","C00378","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO","1"
"HMDB0013676","2,6-Dihydroxybenzoic acid","HMDB0013676","9338","C21298","C1=CC(=C(C(=C1)O)C(=O)O)O","1"
"HMDB0000721","Glycylproline","HMDB0000721","79101",NA,"C1CC(N(C1)C(=O)CN)C(=O)O","1"
"HMDB0000641","L-Glutamine","HMDB0000641","5961","C00064","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"HMDB0000158","L-Tyrosine","HMDB0000158","6057","C00082","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"HMDB0000355","3-Hydroxymethylglutaric acid","HMDB0000355","1662","C03761","CC(CC(=O)O)(CC(=O)O)O","1"
