genome,cluster,type,contig,start,end
19,1,NRPS,11,0,28688
19,1,thiopeptide,26,17796,44089
191,1,NRPS,3,111958,155840
191,1,arylpolyene,12,117863,153634
191,1,NRPS|T1PKS,22,0,79234
191,1,NRPS|T1PKS,29,0,37569
192,1,NRPS,4,210457,254339
192,1,T1PKS|NRPS,7,14490,70177
192,1,thiopeptide,30,0,19815
193,1,NRPS,13,993,44875
193,1,thiopeptide,14,82764,109057
193,1,RiPP-like,38,4353,15931
194,1,thiopeptide,2,286257,312550
194,1,NRPS,12,819,44701
195,1,thiopeptide,11,25042,51335
195,1,NRPS,14,566,44448
196,1,thiopeptide,1,82729,109022
196,1,NRPS,15,1288,45170
197,1,thiopeptide,4,126763,153056
197,1,NRPS,14,0,28656
197,1,RiPP-like,72,0,10105
197,1,LAP,73,0,10101
198,1,thiopeptide,8,26464,52757
198,1,NRPS,12,77553,121435
199,1,NRPS,2,80753,124635
199,1,NRPS|T1PKS,18,664,118774
2.3,1,NRPS|T1PKS,1,751,121297
2.3,1,thiopeptide,4,13364,39657
2.3,1,NRPS,8,111852,155734
2.3,1,arylpolyene,30,0,38479
2.3,1,siderophore,39,14477,25966
2,1,thiopeptide,8,82743,109036
2,1,NRPS,31,6,43888
2,1,T1PKS|NRPS,55,0,32846
20,1,NRPS|T1PKS,8,75613,131300
20,1,NRPS,11,57,43939
20,1,thiopeptide,31,18183,44476
20,1,siderophore,49,2081,15603
200,1,thiopeptide,2,197590,223883
200,1,NRPS,14,0,39736
200,1,NRPS|T1PKS,18,215,97367
200,1,siderophore,36,0,11489
201,1,thiopeptide,2,197590,223883
201,2,NRPS,2,501262,540998
201,1,NRPS|T1PKS,17,215,97367
201,1,siderophore,34,14477,25966
202,1,NRPS|T1PKS,9,75614,131301
202,1,NRPS,11,89890,133772
202,1,thiopeptide,21,17796,44089
202,1,siderophore,60,0,13445
203,1,T1PKS|NRPS,1,290817,346504
203,1,NRPS,3,366936,410818
204,1,thiopeptide,1,12074,38367
204,1,NRPS,14,49385,93267
204,1,T1PKS|NRPS,24,26854,74357
204,1,siderophore,31,15121,26610
205,1,thiopeptide,4,218730,245023
205,1,NRPS,10,15248,59130
206,1,NRPS|T1PKS,2,664,115564
206,1,NRPS,3,179498,223380
206,1,thiopeptide,6,228684,254977
207,1,NRPS,2,172963,216845
207,1,thiopeptide,9,108118,134411
207,1,NRPS|T1PKS,22,383,74451
207,1,NRPS|T1PKS,39,0,35293
208,1,thiopeptide,7,126823,153116
208,1,NRPS,14,84691,113378
208,1,siderophore,50,0,13441
209,1,thiopeptide,3,126823,153116
209,1,NRPS,17,84691,113378
209,1,siderophore,55,0,13441
21,1,thiopeptide,87,0,14177
21,1,NRPS,94,0,9886
210,1,thiopeptide,7,126823,153116
210,1,NRPS,16,0,28687
210,1,siderophore,54,0,13441
211,1,NRPS,1,214215,258097
211,1,NRPS|T1PKS,11,92993,145634
211,1,thiopeptide,12,0,19824
211,1,arylpolyene,24,0,34390
212,1,thiopeptide,1,581290,607583
212,1,butyrolactone,4,145595,156333
212,1,NRPS,13,84486,128368
214,1,butyrolactone,3,145595,156333
214,1,thiopeptide,10,126617,152910
214,1,NRPS,15,84595,128477
215,1,thiopeptide,4,31079,57372
215,1,NRPS,20,0,28687
216,1,thiopeptide,3,113051,139344
216,1,NRPS,11,11319,55201
216,1,NRPS|T1PKS,15,922,116945
217,1,NRPS,3,7593,51475
217,1,NRPS|T1PKS,15,305,118714
219,1,thiopeptide,1,238843,265136
219,1,T1PKS|NRPS,2,15146,70833
219,1,NRPS,16,6610,50492
219,1,siderophore,47,0,12271
22,1,NRPS|T1PKS,27,0,76894
22,1,NRPS,28,21010,64892
22,1,NRPS|T1PKS,50,0,30797
22,1,siderophore,58,0,10937
22,1,arylpolyene,68,0,17878
220,1,arylpolyene,5,0,35771
220,2,thiopeptide,5,141770,168063
220,1,NRPS,6,178168,222050
220,1,NRPS|T1PKS,11,76636,197688
222,1,thiopeptide,11,77517,103810
222,1,NRPS,13,0,28688
222,1,NRPS|T1PKS,23,0,52803
222,1,siderophore,68,0,12271
223,1,arylpolyene,3,135692,179280
223,1,thiopeptide,7,149514,175807
223,1,NRPS,9,135870,179699
223,1,T1PKS|NRPS,11,4243,59930
224,1,thiopeptide,5,26467,52760
224,1,NRPS,7,0,43829
224,1,arylpolyene,9,40414,84002
224,1,T1PKS|NRPS,30,4243,59011
225,1,NRPS,19,8482,52364
225,1,T1PKS|NRPS,32,0,45727
225,1,thiopeptide,40,14182,34413
225,1,siderophore,45,15121,26610
228,1,thiopeptide,2,163272,189565
228,2,NRPS,2,515678,559560
228,1,NRPS|T1PKS,3,419718,540246
228,1,arylpolyene,31,0,16058
23,1,NRPS,6,18978,62860
23,1,thiopeptide,20,29434,55727
23,1,T1PKS|NRPS,24,20474,67977
23,1,siderophore,60,3594,14531
231,1,NRPS,11,0,28688
231,1,thiopeptide,14,71690,97983
232,1,NRPS,14,91503,120191
236,1,NRPS,1,299762,343644
236,2,thiopeptide,1,630642,656935
236,1,NRPS|T1PKS,16,0,52824
237,1,thiopeptide,1,76098,102391
237,2,NRPS,1,389389,433271
237,1,NRPS|T1PKS,13,77410,133097
239,1,NRPS|T1PKS,2,664,121076
239,1,NRPS,3,7594,51476
239,2,thiopeptide,3,336880,363173
24,1,NRPS,1,80847,124729
24,1,thiopeptide,2,204155,230448
24,1,T1PKS|NRPS,21,12671,68358
24,1,siderophore,48,0,12271
240,1,NRPS,2,149671,193553
240,1,thiopeptide,38,0,19815
244,1,NRPS,1,299634,343516
244,2,thiopeptide,1,630514,656807
244,1,T1PKS|NRPS,18,5857,61544
25,1,thiopeptide,1,108261,134554
25,1,NRPS,2,172791,216673
25,1,NRPS|T1PKS,44,0,39151
25,1,siderophore,68,0,12271
26,1,NRPS|T1PKS,1,418875,474562
26,1,NRPS,2,7594,51476
26,2,thiopeptide,2,336580,362873
26,1,siderophore,38,0,12271
27,1,NRPS,1,187574,231456
27,1,thiopeptide,24,0,19815
27,1,NRPS,28,16484,57999
27,1,siderophore,77,3615,15330
28,1,thiopeptide,8,21905,48198
28,2,arylpolyene,8,154229,192708
28,1,NRPS|T1PKS,15,76,119633
28,1,NRPS,20,49117,92999
28,1,NRPS|T1PKS,25,8740,49780
28,1,siderophore,32,15121,26610
29,1,thiopeptide,2,18386,44679
29,1,NRPS,13,86402,130284
29,1,T1PKS|NRPS,26,0,47502
29,1,siderophore,44,3892,18307
29,1,RiPP-like,55,0,7808
3,1,NRPS,13,662,44544
3,1,T1PKS|NRPS,22,27539,74537
3,1,thiopeptide,23,17796,44089
30,1,thiopeptide,3,108061,134354
30,1,NRPS,8,54537,98419
30,1,NRPS|T1PKS,16,0,41620
31,1,NRPS,24,0,43099
31,1,NRPS|T1PKS,38,0,41056
32,1,thiopeptide,90,0,14176
32,1,NRPS,96,0,9886
33,1,NRPS,1,267392,311274
33,1,thiopeptide,4,82673,108966
33,1,T1PKS|NRPS,14,69478,125165
34,1,thiopeptide,1,117603,143896
34,1,arylpolyene,26,0,29697
34,1,NRPS,62,0,25201
35,1,thiopeptide,1,242612,268905
35,2,NRPS,1,546271,590153
35,1,NRPS|T1PKS,16,0,54869
36,1,thiopeptide,1,249011,275304
36,1,T1PKS|NRPS,2,8803,64490
36,1,arylpolyene,7,135692,179280
36,1,NRPS,19,55961,99843
37,1,thiopeptide,27,0,18130
37,1,NRPS,94,0,9553
38,1,NRPS,21,6204,48392
38,1,T1PKS|NRPS,32,0,41898
38,1,siderophore,128,0,12402
39,1,thiopeptide,2,70842,97135
39,1,arylpolyene,3,42046,85634
39,1,NRPS,18,22393,66275
39,1,siderophore,84,0,10009
40,1,thiopeptide,4,25099,51392
40,1,NRPS,50,0,28555
40,1,RiPP-like,109,0,3642
41,1,NRPS,11,83881,127763
41,1,thiopeptide,12,14449,40742
42,1,thiopeptide,8,14449,40742
42,1,NRPS,13,51436,91007
43,1,thiopeptide,5,134472,160765
43,1,NRPS,16,11333,55215
44,1,thiopeptide,6,71690,97983
44,1,NRPS,8,0,28688
45,1,NRPS|T1PKS,1,0,55588
45,1,NRPS,2,229379,273261
45,1,thiopeptide,5,48644,74937
46,1,NRPS,2,80743,124625
46,1,NRPS|T1PKS,36,0,37769
46,1,RiPP-like,55,0,6074
47,1,NRPS|T1PKS,1,440055,495742
47,1,NRPS,3,255487,299369
47,1,thiopeptide,5,459528,485821
47,1,RiPP-like,20,0,6074
48,1,thiopeptide,5,13153,39446
48,1,NRPS,17,3875,47757
49,1,NRPS|T1PKS,1,664,121241
49,1,thiopeptide,3,79582,105875
49,2,NRPS,3,391279,435161
50,1,NRPS|T1PKS,2,448114,569245
50,1,NRPS,4,7516,51398
50,1,thiopeptide,14,79596,105889
50,1,arylpolyene,23,26334,64647
50,1,siderophore,34,15121,26610
51,1,T1PKS|NRPS,3,4238,59925
51,1,thiopeptide,4,116141,142434
51,1,NRPS,19,57572,86260
51,1,RiPP-like,44,0,6756
52,1,NRPS,13,90358,134240
53,1,arylpolyene,20,37188,80776
53,1,thiopeptide,27,23889,50182
53,1,NRPS,39,8055,41823
54,1,T1PKS|NRPS,1,4238,59925
54,1,thiopeptide,3,119947,146240
54,1,NRPS,17,90443,119131
54,1,RiPP-like,45,0,6756
55,1,thiopeptide,4,116130,142423
55,1,NRPS,5,90446,134328
55,1,T1PKS|NRPS,22,4239,58885
55,1,RiPP-like,49,0,6756
56,1,NRPS|T1PKS,1,419679,475401
56,1,thiopeptide,2,162203,188496
56,1,NRPS,10,7447,51329
56,1,cyclic-lactone-autoinducer,34,8165,28684
56,1,siderophore,41,0,12271
57,1,arylpolyene,5,135692,179280
57,1,NRPS,7,135856,179738
57,1,thiopeptide,12,26467,52760
57,1,T1PKS|NRPS,15,51281,98585
57,1,siderophore,54,6055,17083
58,1,T1PKS|NRPS,1,22809,78496
58,1,NRPS,14,90455,119143
58,1,LAP,27,0,17770
59,1,NRPS,2,272630,316512
59,1,thiopeptide,18,42849,69142
59,1,T1PKS|NRPS,25,0,47503
59,1,siderophore,31,0,11489
60,1,thiopeptide,15,0,21721
60,1,NRPS|T1PKS,29,20486,62127
60,1,NRPS,56,0,26540
60,1,siderophore,82,0,10579
60,1,lassopeptide,94,0,8431
61,1,NRPS,3,157067,200949
61,1,thiopeptide,8,102694,128987
61,1,T1PKS|NRPS,19,11144,66831
61,1,LAP,27,0,21531
62,1,NRPS|T1PKS,1,358,106426
62,1,NRPS,2,7528,51410
62,2,thiopeptide,2,339349,365642
62,1,RiPP-like,17,19281,30208
63,1,NRPS,1,7593,51475
63,2,thiopeptide,1,336589,362882
63,1,NRPS|T1PKS,4,141342,260702
63,1,RiPP-like,56,0,6655
64,1,T1PKS|NRPS,1,0,51754
64,1,NRPS,16,46494,89179
64,1,thiopeptide,43,14182,34413
64,1,siderophore,50,0,10845
65,1,NRPS,2,49176,93058
65,1,NRPS|T1PKS,4,42,70751
65,1,thiopeptide,9,130833,157126
65,1,NRPS|T1PKS,37,0,28922
67,1,NRPS,17,90350,134232
68,1,NRPS,1,272481,316363
68,1,thiopeptide,4,18386,44679
68,1,T1PKS|NRPS,20,0,47502
68,1,siderophore,49,3930,10034
68,1,siderophore,52,0,8311
68,1,siderophore,58,0,7141
68,1,lassopeptide,60,0,5831
69,1,thiopeptide,1,214174,240467
69,1,NRPS,6,177841,221723
69,1,T1PKS|NRPS,18,77,112886
70,1,thiopeptide,2,76098,102391
70,1,NRPS,6,181408,225290
70,1,T1PKS|NRPS,21,5857,57609
71,1,NRPS,1,272502,312905
71,1,thiopeptide,7,135257,161550
71,1,NRPS|T1PKS,13,0,45207
74,1,thiopeptide,11,14490,40783
74,1,NRPS,15,90578,134460
75,1,NRPS|T1PKS,2,353763,469670
75,1,thiopeptide,3,237029,263322
75,1,NRPS,19,11319,55201
76,1,thiopeptide,2,25290,51582
76,1,NRPS,14,0,28689
77,1,arylpolyene|ladderane,1,59211,101770
77,2,thiopeptide,1,222812,249105
77,1,NRPS,6,70704,114586
78,1,NRPS,32,18619,47307
78,1,thiopeptide,112,0,9583
78,1,RiPP-like,146,0,3123
79,1,NRPS,2,337112,380994
79,1,thiopeptide,13,14398,40691
8,1,T1PKS|NRPS,1,69482,125169
8,1,NRPS,3,266365,310247
8,1,thiopeptide,10,82572,108865
80,1,NRPS,1,18898,62780
80,2,thiopeptide,1,340083,366376
80,1,T1PKS|NRPS,18,50995,106681
80,1,siderophore,35,5222,19637
81,1,thiopeptide,5,82951,109244
81,1,NRPS,14,90271,134153
81,1,RiPP-like,24,65846,77382
82,1,thiopeptide,6,119942,146235
82,1,NRPS,15,735,44617
83,1,NRPS|T1PKS,4,0,55410
83,1,NRPS,60,0,24272
83,1,T1PKS|NRPS,70,0,21595
84,1,thiopeptide,1,93935,120228
84,1,NRPS|T1PKS,2,361,106429
84,1,NRPS,5,18898,62780
84,1,siderophore,48,0,11103
85,1,thiopeptide,13,83010,101006
85,1,NRPS,32,18132,46814
86,1,thiopeptide,2,126764,153057
86,1,NRPS,15,90461,134343
87,1,NRPS,2,337113,380995
87,1,thiopeptide,11,14398,40691
88,1,thiopeptide,9,61518,87811
88,1,NRPS,55,0,28378
89,1,thiopeptide,230,0,6108
89,1,RiPP-like,319,0,3556
9,1,NRPS|T1PKS,11,0,41382
9,1,NRPS,29,21798,50717
9,1,siderophore,81,0,14131
9,1,thiopeptide,88,0,14839
90,1,thiopeptide,9,108304,134597
90,1,NRPS,13,0,29042
90,1,NRPS|T1PKS,15,76,118999
90,1,arylpolyene,28,0,36121
90,1,siderophore,40,5153,16642
90,1,RiPP-like,76,0,3258
91,1,NRPS,16,0,28688
91,1,thiopeptide,27,0,21714
91,1,RiPP-like,112,0,6608
92,1,thiopeptide,14,14395,40688
92,1,NRPS,17,69173,97858
93,1,NRPS,2,272653,316535
93,1,thiopeptide,22,28338,54631
93,1,T1PKS|NRPS,25,20732,68235
93,1,siderophore,32,0,11489
94,1,thiopeptide,1,224519,250812
94,2,NRPS,1,536256,580138
94,1,NRPS|T1PKS,2,770,121339
95,1,thiopeptide,1,127023,153316
95,1,NRPS,14,0,28687
96,1,thiopeptide,7,25179,51472
96,1,NRPS,42,0,26944
97,1,thiopeptide,7,134365,160658
97,1,NRPS|T1PKS,8,95281,150968
97,1,NRPS,17,0,28925
98,1,NRPS|T1PKS,1,353737,473566
98,1,thiopeptide,11,119721,146014
98,1,NRPS,13,11319,55201
98,1,LAP,32,0,19919
99,1,NRPS,4,178508,222390
99,1,thiopeptide,8,79434,105727
99,1,NRPS|T1PKS,15,419,108244
FOC_10,1,thiopeptide,3,82747,109040
FOC_10,1,NRPS,13,662,44544
FOC_3,1,T1PKS|NRPS,55,0,29167
FOC_5.1,1,thiopeptide,7,13139,39432
FOC_5.1,1,T1PKS|NRPS,8,17970,73657
FOC_5.1,1,LAP,27,2772,24762
FOC_5.1,1,NRPS,37,0,28925
FOC_7.1,1,NRPS,3,254680,298562
FOC_7.1,1,thiopeptide,13,13364,39657
FOC_7.1,1,NRPS|T1PKS,21,0,79313
FOC_7.1,1,arylpolyene,28,0,38479
FOC_7.1,1,NRPS|T1PKS,33,0,37558
FOC_7.1,1,siderophore,43,14477,25966
Nissle_Tn_parental,1,NRPS,1,177173,221055
Nissle_Tn_parental,1,siderophore,5,260425,271914
Nissle_Tn_parental,1,NRPS|T1PKS,8,68233,189388
Nissle_Tn_parental,1,thiopeptide,11,123039,149332
Nissle_Tn_parental,1,arylpolyene,36,0,21137
NT12001_189,1,NRPS,NC_000913.3,594156,638038
NT12001_189,2,thiopeptide,NC_000913.3,940339,966632
NT12002_188,1,NRPS,HG738867.1,496139,540021
NT12002_188,2,thiopeptide,HG738867.1,842530,868823
NT12003_214,1,NRPS,c00032_W3110_c..,0,28764
NT12003_214,1,thiopeptide,c00073_W3110_c..,14438,40731
NT12004_22,1,NRPS,CP009273.1,589612,633494
NT12004_22,2,thiopeptide,CP009273.1,935795,962088
NT12005_17,1,NRPS,NC_012892.2,554637,598519
NT12005_17,2,thiopeptide,NC_012892.2,945424,971716
NT12006_215,1,arylpolyene,c00032_DH5a_co..,0,1482
NT12006_215,1,thiopeptide,c00105_DH5a_co..,83302,109595
NT12006_215,1,NRPS,c00122_DH5a_co..,0,28764
NT12007_60,1,NRPS,NC_011745.1,583512,626177
NT12007_60,2,thiopeptide,NC_011745.1,943609,969902
NT12007_60,3,NRPS|T1PKS,NC_011745.1,2153286,2208973
NT12007_60,4,siderophore,NC_011745.1,4857217,4871632
NT12008_101,1,NRPS,NC_011741.1,596989,640871
NT12008_101,2,thiopeptide,NC_011741.1,992604,1018897
NT12010_146,1,arylpolyene,NZ_CAPM01000033,0,21412
NT12010_146,1,NRPS|T1PKS|NRPS-like,NZ_CAPM01000056,490129,560804
NT12010_146,1,NRPS|T1PKS,NZ_CAPM01000072,0,43911
NT12010_146,1,thiopeptide,NZ_CAPM01000101,172855,199148
NT12010_146,1,NRPS-like,NZ_CAPM01000104,0,4615
NT12010_146,1,NRPS,NZ_CAPM01000106,177263,221145
NT12010_146,1,siderophore,NZ_CAPM01000126,0,11579
NT12011_132,1,NRPS,JEMI01000011.1,49372,93254
NT12011_132,1,thiopeptide,JEMI01000031.1,103150,129443
NT12011_132,1,NRPS|T1PKS,JEMI01000039.1,111380,167067
